"","Country","BattleDeaths","InterpersonalInjuries","PolStability","Voice","GovEffect","RegQuality","RuleofLaw","Corruption","BirthRegistration","IC.BUS.EASE.XQ","BLeducationyears","tenyearavg","SI.POV.GINI","Health.Care.Capabilities","WorldRiskIndex"
"1","Afghanistan",8048,268.6,-2.47,-1.29,-1.43,-1.21,-1.67,-1.43,37,183,2.64,8.77954545454545,27.82,2,9.71
"2","Aland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Albania",NA,13.2,0.06,0.04,-0.33,0.18,-0.57,-0.72,99,68,6.48,4.60818181818182,28.96,2,10.17
"4","Algeria",147,88.4,-1.17,-0.89,-0.6,-1.19,-0.68,-0.48,99,154,4.19,3.546,35.33,2,7.63
"5","American Samoa",NA,NA,0.97,1.04,0.48,0.36,1.14,0.35,NA,NA,NA,NA,NA,3,NA
"6","Andorra",NA,NA,1.32,1.4,1.53,1.55,1.43,1.29,100,NA,NA,NA,NA,5,NA
"7","Angola",NA,144.4,-0.37,-1.12,-1.26,-1.05,-1.28,-1.32,36,181,NA,10.9964545454545,42.66,2,6.67
"8","Anguilla",NA,NA,1.59,1.04,1.53,1.31,1.4,1.29,NA,NA,NA,NA,NA,NA,NA
"9","Antigua and Barbuda",NA,NA,0.98,0.65,0.48,0.6,0.86,1.29,NA,89,NA,1.98618181818182,NA,3,NA
"10","Argentina",NA,175.8,0.06,0.24,-0.29,-0.99,-0.73,-0.46,100,124,6.57,6.19627272727273,43.57,3,3.68
"11","Armenia",NA,5.4,0.07,-0.6,0.07,0.23,-0.31,-0.47,100,45,4.62,6.89845454545455,30.3,2,6.21
"12","Aruba",NA,NA,1.34,1.25,1.21,1.44,1.3,1.13,NA,NA,NA,NA,NA,NA,NA
"13","Australia",NA,19.4,1.02,1.44,1.62,1.79,1.75,1.76,100,10,5.97,2.95372727272727,34.01,5,3.93
"14","Austria",NA,4.1,1.34,1.46,1.57,1.48,1.83,1.51,100,21,3.85,1.50827272727273,30.04,5,3.58
"15","Azerbaijan",NA,30.9,-0.41,-1.35,-0.46,-0.43,-0.67,-0.9,94,80,NA,12.6997272727273,33.03,2,6.04
"16","Bahamas",NA,2.9,1.12,0.91,0.86,0.16,0.6,1.36,NA,97,NA,0.434545454545455,NA,2,4.19
"17","Bahrain",NA,2.1,-1.34,-1.32,0.58,0.6,0.35,0.45,NA,53,4.05,5.33745454545455,NA,4,1.78
"18","Bangladesh",NA,262.4,-1.61,-0.42,-0.82,-0.93,-0.83,-0.89,31,173,3.38,6.13427272727273,32.12,2,19.37
"19","Barbados",NA,1.4,1.29,1.18,1.35,0.43,1,1.61,NA,106,5.83,1.15290909090909,NA,3,1.21
"20","Belarus",NA,20.5,-0.03,-1.54,-0.94,-1.09,-0.89,-0.52,100,57,NA,6.62154545454545,26.46,2,3.12
"21","Belgium",NA,10.9,0.92,1.37,1.59,1.29,1.4,1.63,100,42,5.57,1.24636363636364,33.14,5,3.41
"22","Belize",NA,5.7,0.17,0.7,-0.19,-0.49,-0.45,0.02,95,118,7.7,3.35427272727273,53.13,2,6.59
"23","Benin",NA,55.5,0.28,0.12,-0.55,-0.42,-0.63,-0.83,80,151,2.57,3.86063636363636,43.53,1,11.42
"24","Bermuda",NA,NA,0.99,1.04,1,1.31,1.14,1.29,NA,NA,NA,NA,NA,NA,NA
"25","Bhutan",NA,1.6,0.8,-0.18,0.36,-1.1,0.24,0.82,100,125,NA,8.11581818181818,38.73,2,7.83
"26","Bolivia, Plurinational State of",NA,91.4,-0.35,-0.1,-0.4,-0.79,-1.07,-0.59,76,157,5.47,4.28490909090909,46.64,2,5.04
"27","Bonaire, Sint Eustatius and Saba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Bosnia and Herzegovina",NA,3.8,-0.37,-0.16,-0.45,-0.08,-0.17,-0.22,100,107,NA,3.10654545454545,33.04,3,6.2
"29","Botswana",NA,23.3,1.06,0.47,0.28,0.66,0.59,0.92,72,74,6.26,4.51754545454545,60.46,3,5.45
"30","Brazil",NA,3848.7,-0.28,0.37,-0.08,0.07,-0.12,-0.12,93,120,5.31,3.51827272727273,52.67,2,4.3
"31","Brunei Darussalam",NA,0.5,1.08,-0.5,0.86,1.1,0.61,0.72,NA,101,4.71,1.40827272727273,NA,4,16.23
"32","Bulgaria",NA,11.2,0.18,0.32,0.15,0.52,-0.14,-0.29,100,38,6.13,3.26972727272727,34.28,3,4.21
"33","Burkina Faso",NA,88.3,-0.75,-0.29,-0.62,-0.17,-0.53,-0.58,77,167,NA,5.85963636363636,39.78,1,9.62
"34","Burundi",NA,54.3,-1.3,-0.97,-1.07,-0.87,-1.06,-1.39,75,152,2.78,3.30790909090909,33.27,2,10.59
"35","Cabo Verde",NA,0.8,0.81,0.9,0.12,-0.12,0.48,0.77,91,122,NA,4.89745454545455,43.82,NA,10.32
"36","Cambodia",NA,63.2,-0.16,-0.98,-0.92,-0.35,-0.99,-1.01,62,135,3.68,7.97981818181818,31.82,2,17.12
"37","Cameroon",NA,111.9,-0.52,-1.04,-0.86,-0.93,-1.05,-1.19,61,158,4.26,3.526,40.72,2,11.2
"38","Canada",NA,40.9,1.03,1.46,1.77,1.71,1.74,1.87,100,16,5.88,1.90490909090909,33.68,5,3.14
"39","Cayman Islands",NA,NA,1.06,0.51,1.21,1.11,0.89,1.36,NA,NA,NA,NA,NA,NA,NA
"40","Central African Republic",104,35,-2.15,-1.53,-1.78,-1.13,-1.83,-1.04,61,187,2.6,2.01245454545455,56.3,1,6.78
"41","Chad",NA,62.8,-1.1,-1.38,-1.5,-1.02,-1.37,-1.28,16,185,NA,8.53872727272727,43.3,1,11.28
"42","Chile",NA,43.4,0.37,1.09,1.25,1.48,1.34,1.52,99,41,5.55,4.62190909090909,50.84,4,11.3
"43","China",NA,1019.3,-0.55,-1.58,-0.03,-0.31,-0.46,-0.35,NA,90,5.07,10.1998181818182,37.0120751713004,2,6.9
"44","Colombia",140,1072.5,-1.27,-0.12,0.04,0.39,-0.45,-0.44,97,34,4.69,4.73136363636364,53.53,2,6.83
"45","Comoros",NA,4.5,-0.24,-0.52,-1.44,-1.26,-0.99,-0.73,87,159,NA,2.00054545454545,64.3,2,7.44
"46","Congo",NA,35.4,-0.47,-1.12,-1.22,-1.36,-1.09,-1.19,91,178,3.78,4.45718181818182,40.17,1,7.53
